gene_name,gene_id,mirna_name,mirna_id,experiments,publications,cell_lines,micro_tscore
TET3,ENSG00000187605,hsa-miR-29a-3p,MIMAT0000086,43,25,27,0.79
MDM2,ENSG00000135679,hsa-miR-29a-3p,MIMAT0000086,42,23,29,0.72
CLTC,ENSG00000141367,hsa-miR-29a-3p,MIMAT0000086,39,19,23,0.8
CCNT2,ENSG00000082258,hsa-miR-29a-3p,MIMAT0000086,38,25,24,0.72
DDX5,ENSG00000108654,hsa-miR-29a-3p,MIMAT0000086,38,24,25,0.5
EEF2,ENSG00000167658,hsa-miR-29a-3p,MIMAT0000086,35,23,26,0.38
IREB2,ENSG00000136381,hsa-miR-29a-3p,MIMAT0000086,35,20,21,0.76
CALM3,ENSG00000160014,hsa-miR-29a-3p,MIMAT0000086,34,19,23,0.94
ATP5F1B,ENSG00000110955,hsa-miR-29a-3p,MIMAT0000086,32,19,22,0.42
CNOT1,ENSG00000125107,hsa-miR-29a-3p,MIMAT0000086,32,19,19,0.5
ATP2A2,ENSG00000174437,hsa-miR-29a-3p,MIMAT0000086,31,20,21,0.59
FEM1B,ENSG00000169018,hsa-miR-29a-3p,MIMAT0000086,31,20,20,1
CTDSPL2,ENSG00000137770,hsa-miR-29a-3p,MIMAT0000086,30,16,25,0.74
CCDC117,ENSG00000159873,hsa-miR-29a-3p,MIMAT0000086,29,15,22,0.76
MED13,ENSG00000108510,hsa-miR-29a-3p,MIMAT0000086,29,19,17,0.58
WDR26,ENSG00000162923,hsa-miR-29a-3p,MIMAT0000086,29,23,22,0.57
CDC42,ENSG00000070831,hsa-miR-29a-3p,MIMAT0000086,28,16,13,0.72
MCL1,ENSG00000143384,hsa-miR-29a-3p,MIMAT0000086,28,20,22,0.09
ZFP91,ENSG00000186660,hsa-miR-29a-3p,MIMAT0000086,28,16,20,0.86
CCT4,ENSG00000115484,hsa-miR-29a-3p,MIMAT0000086,27,18,17,0.54
DYNC1H1,ENSG00000197102,hsa-miR-29a-3p,MIMAT0000086,27,16,16,0.39
EIF5A,ENSG00000132507,hsa-miR-29a-3p,MIMAT0000086,27,17,20,0.39
KDM6B,ENSG00000132510,hsa-miR-29a-3p,MIMAT0000086,27,17,17,0.81
NUFIP2,ENSG00000108256,hsa-miR-29a-3p,MIMAT0000086,27,15,18,0.74
SETD5,ENSG00000168137,hsa-miR-29a-3p,MIMAT0000086,27,19,19,0.66
SLC19A2,ENSG00000117479,hsa-miR-29a-3p,MIMAT0000086,27,16,17,0.53
ZFP36,ENSG00000128016,hsa-miR-29a-3p,MIMAT0000086,27,19,22,0.66
ADH5,ENSG00000197894,hsa-miR-29a-3p,MIMAT0000086,26,15,15,0.48
COMMD2,ENSG00000114744,hsa-miR-29a-3p,MIMAT0000086,26,14,14,0.72
INSIG1,ENSG00000186480,hsa-miR-29a-3p,MIMAT0000086,26,18,18,0.83
PDHX,ENSG00000110435,hsa-miR-29a-3p,MIMAT0000086,26,16,18,0.7
PIK3R1,ENSG00000145675,hsa-miR-29a-3p,MIMAT0000086,26,18,18,0.86
TRAM1,ENSG00000067167,hsa-miR-29a-3p,MIMAT0000086,26,16,20,0.44
APH1A,ENSG00000117362,hsa-miR-29a-3p,MIMAT0000086,25,14,14,0.55
CTNNB1,ENSG00000168036,hsa-miR-29a-3p,MIMAT0000086,25,14,18,0.47
MACF1,ENSG00000127603,hsa-miR-29a-3p,MIMAT0000086,25,16,17,0.57
MAP1B,ENSG00000131711,hsa-miR-29a-3p,MIMAT0000086,25,15,17,0.38
TET1,ENSG00000138336,hsa-miR-29a-3p,MIMAT0000086,25,15,18,0.79
ZBTB34,ENSG00000177125,hsa-miR-29a-3p,MIMAT0000086,25,16,11,0.99
CCT8,ENSG00000156261,hsa-miR-29a-3p,MIMAT0000086,24,13,16,-0.26
E2F7,ENSG00000165891,hsa-miR-29a-3p,MIMAT0000086,24,14,18,0.63
GSK3B,ENSG00000082701,hsa-miR-29a-3p,MIMAT0000086,24,12,15,0.56
MED13L,ENSG00000123066,hsa-miR-29a-3p,MIMAT0000086,24,16,14,0.62
SON,ENSG00000159140,hsa-miR-29a-3p,MIMAT0000086,24,12,16,0.37
ZFP36L1,ENSG00000185650,hsa-miR-29a-3p,MIMAT0000086,24,13,14,0.97
BAG6,ENSG00000204463,hsa-miR-29a-3p,MIMAT0000086,23,14,18,0.38
CAND1,ENSG00000111530,hsa-miR-29a-3p,MIMAT0000086,23,12,18,0.49
GAN,ENSG00000261609,hsa-miR-29a-3p,MIMAT0000086,23,14,16,0.73
MOB1A,ENSG00000114978,hsa-miR-29a-3p,MIMAT0000086,23,16,20,0.81
RNF138,ENSG00000134758,hsa-miR-29a-3p,MIMAT0000086,23,15,13,0.9
RTL6,ENSG00000188636,hsa-miR-29a-3p,MIMAT0000086,23,14,15,0.77
THBS1,ENSG00000137801,hsa-miR-29a-3p,MIMAT0000086,23,12,14,0.52
TUBA1B,ENSG00000123416,hsa-miR-29a-3p,MIMAT0000086,23,13,14,-1
BRWD3,ENSG00000165288,hsa-miR-29a-3p,MIMAT0000086,22,12,15,0.96
CAPRIN1,ENSG00000135387,hsa-miR-29a-3p,MIMAT0000086,22,13,18,0.44
DCP2,ENSG00000172795,hsa-miR-29a-3p,MIMAT0000086,22,15,13,0.61
HBP1,ENSG00000105856,hsa-miR-29a-3p,MIMAT0000086,22,16,15,1
HMGCS1,ENSG00000112972,hsa-miR-29a-3p,MIMAT0000086,22,13,10,0.6
MSH6,ENSG00000116062,hsa-miR-29a-3p,MIMAT0000086,22,13,12,0.58
NA,ENSG00000289694,hsa-miR-29a-3p,MIMAT0000086,22,13,10,-1
PLAG1,ENSG00000181690,hsa-miR-29a-3p,MIMAT0000086,22,17,21,0.96
RPN2,ENSG00000118705,hsa-miR-29a-3p,MIMAT0000086,22,13,14,0.44
TMTC3,ENSG00000139324,hsa-miR-29a-3p,MIMAT0000086,22,17,15,0.78
TSC22D2,ENSG00000196428,hsa-miR-29a-3p,MIMAT0000086,22,13,13,0.42
TUBB,ENSG00000196230,hsa-miR-29a-3p,MIMAT0000086,22,14,16,0.38
ABHD13,ENSG00000139826,hsa-miR-29a-3p,MIMAT0000086,21,13,17,0.61
ARL5B,ENSG00000165997,hsa-miR-29a-3p,MIMAT0000086,21,17,18,0.67
ASAP2,ENSG00000151693,hsa-miR-29a-3p,MIMAT0000086,21,15,14,0.93
